position,artist,title,streams,peak,days,total_streams,rank_date
38,El Bogueto,Cuando No Era Cantante(w/Yung Beef),2.077.107,28,28,47024361,2025-11-13
39,Tame Impala,Dracula,2.036.977,27,48,85965940,2025-11-13
40,LE SSERAFIM,SPAGHETTI(w/j-hope),2.024.470,19,20,44735736,2025-11-13
41,The Weeknd,Timeless(w/Playboi Carti),2.000.282,2,412,1203542570,2025-11-13
42,Coldplay,Yellow,1.993.318,15,1780,2662484272,2025-11-13
43,Mariah Carey,All I Want for Christmas Is You,1.975.168,1,574,1853441212,2025-11-13
44,Saja Boys,"Your Idol(w/Andrew Choi,Neckwav,Danny Chung,KEVIN WOO,samUIL Lee,KPop Demon Hunters Cast)",1.972.572,3,143,509849471,2025-11-13
45,Sabrina Carpenter,Tears,1.959.562,1,76,231652898,2025-11-13
46,Justin Bieber,DAISIES,1.931.305,1,125,412770343,2025-11-13
47,Cigarettes After Sex,Apocalypse,1.899.819,47,1190,1677149396,2025-11-13
48,ROSÃ,APT.(w/Bruno Mars),1.860.476,1,391,2053743317,2025-11-13
49,Arctic Monkeys,505,1.853.403,40,1410,2032511108,2025-11-13
50,Taylor Swift,Elizabeth Taylor,1.852.215,2,41,201849213,2025-11-13
51,Radiohead,Let Down,1.841.087,51,165,276863727,2025-11-13
52,The Weeknd,Starboy(w/Daft Punk),1.830.731,1,1966,3391007901,2025-11-13
53,Michael Jackson,Billie Jean,1.809.008,39,237,307498147,2025-11-13
54,Sabrina Carpenter,Espresso,1.795.842,1,580,2599709952,2025-11-13
55,Wham!,Last Christmas,1.794.810,2,514,1534993611,2025-11-13
56,ROSALÃA,"Sexo, Violencia y Llantas",1.767.805,11,6,12896915,2025-11-13
57,Gorillaz,Feel Good Inc,1.765.939,39,316,478516184,2025-11-13
58,Tate McRae,Just Keep Watching (From F1Â® The Movie)(w/F1 The Album),1.763.982,7,167,394152942,2025-11-13
59,Gracie Abrams,Thatâs So True,1.746.261,3,391,1402452093,2025-11-13
60,Bad Bunny,DtMF,1.743.897,1,312,1157220428,2025-11-13
61,Ariana Grande,we can't be friends (wait for your love),1.736.071,1,615,1672440303,2025-11-13
62,Sabrina Carpenter,When Did You Get Hot?,1.723.543,9,76,186076658,2025-11-13
63,HUNTR/X,"How Itâs Done(w/Ejae,AUDREY NUNA,REI AMI,KPop Demon Hunters Cast)",1.722.342,6,143,438620219,2025-11-13
64,Jung Kook,Seven(w/Latto),1.719.930,1,852,2423982431,2025-11-13
65,Keane,Somewhere Only We Know,1.719.372,62,1066,1421013444,2025-11-13
66,Linkin Park,In the End,1.718.476,8,887,1239156136,2025-11-13
67,HUNTR/X,"What It Sounds Like(w/Ejae,AUDREY NUNA,REI AMI,KPop Demon Hunters Cast)",1.697.596,7,143,392028980,2025-11-13
68,Aditya Rikhari,Sahiba,1.697.409,35,129,238660933,2025-11-13
69,Kendrick Lamar,All The Stars(w/SZA),1.696.477,2,888,1632326702,2025-11-13
70,Fleetwood Mac,Dreams - 2004 Remaster,1.696.198,17,877,1089306502,2025-11-13
71,Taylor Swift,Father Figure,1.679.456,4,41,181364321,2025-11-13
72,Kehlani,Folded,1.668.339,70,104,159065104,2025-11-13
73,Olivia Dean,Nice To Each Other,1.664.877,50,85,124566567,2025-11-13
74,The MarÃ­as,No One Noticed,1.650.777,32,369,679440550,2025-11-13
75,Young Cister,QLOO*(w/Kreamly),1.639.602,28,107,188987462,2025-11-13
76,Bad Bunny,BAILE INoLVIDABLE,1.625.881,3,312,943838891,2025-11-13
77,The Weeknd,Blinding Lights,1.608.087,1,2172,5042517762,2025-11-13
78,Tom Odell,Another Love,1.600.250,11,1671,2861393525,2025-11-13
79,Lana Del Rey,Young And Beautiful,1.591.246,79,258,319929028,2025-11-13
80,Chappell Roan,"Good Luck, Babe!",1.579.322,5,583,1828126749,2025-11-13
81,BLACKPINK,JUMP,1.578.508,1,125,365238870,2025-11-13
82,Rels B,TU VAS SIN (fav),1.570.615,26,122,229605431,2025-11-13
83,Bruno Mars,That's What I Like,1.547.942,5,1125,1548997747,2025-11-13
84,The Killers,Mr. Brightside,1.543.991,59,1555,1399661206,2025-11-13
85,Vance Joy,Riptide,1.541.167,16,2459,2469490368,2025-11-13
86,Bruno Mars,Locked out of Heaven,1.536.619,21,1421,1776864472,2025-11-13
87,The MarÃ­as,Sienna,1.527.024,83,71,101166055,2025-11-13
88,Coldplay,Viva La Vida,1.526.267,27,1202,1893735822,2025-11-13
89,Rauw Alejandro,QuÃ© PasarÃ­a...(w/Bad Bunny),1.513.972,13,333,683534876,2025-11-13
90,W Sound,"La Plena - W Sound 05(w/BeÃ©le,Ovy On The Drums)",1.507.716,4,260,787049772,2025-11-13
91,ROSALÃA,Divinize,1.495.322,14,6,11278527,2025-11-13
92,Kendrick Lamar,luther,1.480.539,2,356,1234380220,2025-11-13
93,ROSALÃA,Dios Es Un Stalker,1.476.434,26,6,10022834,2025-11-13
94,Ed Sheeran,Perfect,1.471.157,3,2947,3377175898,2025-11-13
95,DJ Snake,Let Me Love You(w/Justin Bieber),1.452.986,2,681,1105573829,2025-11-13
96,Drake,"One Dance(w/Wizkid,Kyla)",1.450.757,1,2006,2892812962,2025-11-13
97,Taylor Swift,Wi$h Li$t,1.450.640,7,41,154683303,2025-11-13
98,Bruno Mars,It Will Rain,1.449.141,58,101,151135342,2025-11-13
99,Blessd,"YOGURCITO REMIX(w/Anuel AA,Yan Block,Luar La L,Kris R.,ROA)",1.446.233,99,57,75293901,2025-11-13
100,Joji,Past Won't Leave My Bed,1.443.629,53,6,9145566,2025-11-13
